"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occ_class_c" "occ_subclass_c" "occupation" "population" "HISCO"
  ---
1867" "M" "O" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aardwerkers>" 2 "89200"
"900" "Aardwerkers" "D" "23
---
24

1866
  ---
1865" "M" "O" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aardwerkers>" 2 "89200"
"913" "Aardwerkers" "D" "66
---
70

1823
---
1818" "M" "O" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 1 "89200"
"926" "Aardwerkers" "D" "23
---
24

1866
  ---
1865" "M" "G" "Purmerend" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/III/d_/Aardwerkers>" 1 "89200"
"939" "Aardwerkers" "D" "14
---
15

1875
  ---
1874" "M" "O" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 3 "89200"
"952" "Aardwerkers" "D" "14
---
15

1875
  ---
1874" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 1 "89200"
"965" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "G" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 130 "89200"
"978" "Aardwerkers" "D" "23
---
24

1866
  ---
1865" "M" "G" "Edam" "III" "d" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Edam/III/d/Aardwerkers>" 1 "89200"
"991" "Aardwerkers" "D" "51
---
60

1838
  ---
1829" "M" "G" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 20 "89200"
"1004" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "G" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 40 "89200"
"1017" "Aardwerkers" "D" "25
---
35

1864
  ---
