ID;BEROEP;ALTBEROEP;POSITIE;HISCO;STATUS;REL
407;Metalen (winnen en eerste bewerking van) Steenkolen, turf, zout, enz.;metalen winnen en eerste bewerking van steenkolen turf zout enz;;;;
408;Directeuren steenkolenmijnen;directeuren steenkolenmijnen;B;21110;;
409;Fabricage van asphalt;fabricage van asphalt;A;21110;;
410;Fabricage van asphalt;fabricage van asphalt;D;94390;;
411;Fabricage van briquetten;fabricage van briquetten;A;21110;;
412;Fabricage van briquetten;fabricage van briquetten;D;94990;;
413;Kolenbranders;kolenbranders;D;96930;;
414;Veenderij;veenderij;;;;
415;Verveners;verveners;A;62970;;
416;Zoutbewerking.;zoutbewerking;;;;
417;Gradeerwerkers;gradeerwerkers;D;96930;32;
418;Zoutzieders;zoutzieders;A;74470;;
419;Totaal voor IX;totaal voor ix;A;;;
420;Totaal voor IX;totaal voor ix;B;;;
421;Totaal voor IX;totaal voor ix;C;;;
422;Totaal voor IX;totaal voor ix;D;;;
423;Totaal voor groep IX;totaal voor groep ix;;;;
424;Metalen. (bewerking van);metalen bewerking van;;;;
425;Edele metalen en munten.;edele metalen en munten;;;;
426;Diamantzetters;diamantzetters;D;88040;;
427;Emailleerders;emailleerders;D;72890;;
428;Fabricage van goud- en zilverwerken.;fabricage van goud en zilverwerken;A;21110;;
429;Fabricage van goud- en zilverwerken.;fabricage van goud en zilverwerken;D;88010;;
430;Goudsmeden;goudsmeden;A;88050;;
431;Goudsmeden;goudsmeden;B;88050;;
432;Goudsmeden;goudsmeden;D;88050;;
433;Juweliers;juweliers;A;88010;;
434;Juweliers;juweliers;C;88010;;
435;Juweliers;juweliers;D;88010;;
436;Niet-edelen metalen (behalve ijzer.);nietedelen metalen behalve ijzer;;;;
437;Blikslagers;blikslagers;A;87340;;
438;Blikslagers;blikslagers;D;87340;;
439;Fabricage van blik;fabricage van blik;A;21110;;
440;Fabricage van bronwater;fabricage van bronwater;C;77890;;
441;Fabricage van bronwater;fabricage van bronwater;D;77890;;
442;Fabricage van capsulen;fabricage van capsulen;A;21110;;
443;Fabricage van gasornamenten;fabricage van gasornamenten;D;94990;;
444;Fabricage van koperwerk;fabricage van koperwerk;A;21110;;
445;Fabricage van koperwerk;fabricage van koperwerk;D;87330;;
446;Fabricage van metaalwaren;fabricage van metaalwaren;A;21110;;
447;Fabricage van metaalwaren;fabricage van metaalwaren;C;72000;;
448;Fabricage van metaalwaren;fabricage van metaalwaren;D;72000;;
449;Fabricage van springveeren;fabricage van springveeren;D;83990;;
450;Fabricage van zink- en zinkwaren;fabricage van zink en zinkwaren;A;21110;;
451;Fabricage van zink- en zinkwaren;fabricage van zink en zinkwaren;D;72000;;
452;Ketelmakers;ketelmakers;D;87350;;
453;Kopergieters en smelters;kopergieters en smelters;A;72420;;
454;Kopergieters en smelters;kopergieters en smelters;D;72420;;
455;Koperslagers;koperslagers;A;87330;;
456;Koperslagers;koperslagers;D;87330;;
457;Metaaldraaiers;metaaldraaiers;A;83320;;
458;Metaaldraaiers;metaaldraaiers;D;83320;;
459;Metaalgieters;metaalgieters;A;72420;;
460;Metaalgieters;metaalgieters;D;72420;;
461;Metaalslijpers;metaalslijpers;A;83465;;
462;Metaalslijpers;metaalslijpers;D;83465;;
463;Metaalvergulders;metaalvergulders;A;93920;;
464;Metaalvergulders;metaalvergulders;D;93920;;
465;Tingieters;tingieters;A;72420;;
466;Tingieters;tingieters;D;72420;;
467;Zandvormers;zandvormers;D;72500;;
