ID;BEROEP;ALTBEROEP;POSITIE;HISCO;STATUS;REL
5621;Muziekonderwijzers;muziekonderwijzers;;13250;;
13593;Muziekonderwijzers;muziekonderwijzers;;13250;;
86;Stokers;stokers;D;96930;;
13597;Kookschoolhouders;kookschoolhouders;;13275;11;
87;Timmerlieden;timmerlieden;D;95410;;
13586;Breischoolhouderessen;breischoolhouderessen;;13280;11;
88;Schijvenschuurders;schijvenschuurders;A;83465;;
4189;Gymnastiekonderwijzers;gymnastiekonderwijzers;;13290;;
89;Schijvenschuurders;schijvenschuurders;B;83465;;
6221;Godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;;13290;;
6552;Godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;;13290;;
6840;Godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;;13290;;
7100;Godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;;13290;;
7319;Godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;;13290;;
8229;Godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;;13290;;
9088;Godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;;13290;;
9311;Godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;;13290;;
10004;Godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen;;13290;;
13592;Gymnastiekonderwijzers;gymnastiekonderwijzers;;13290;;
90;Schijvenschuurders;schijvenschuurders;D;83465;;
2824;Onderwijzers;onderwijzers;;13320;;
2832;Onderwijzers;onderwijzers;;13320;;
2834;Onderwijzers;onderwijzers;;13320;;
96;Boekdrukkers;boekdrukkers;A;92110;;
97;Boekdrukkers;boekdrukkers;B;92110;;
2875;Onderwijzers;onderwijzers;;13320;;
4182;Onderwijzers;onderwijzers;;13320;;
4186;Onderwijzers;onderwijzers;;13320;;
4837;Onderwijzers;onderwijzers;;13320;;
5618;Onderwijzers;onderwijzers;;13320;;
13579;Onderwijzers;onderwijzers;;13320;;
13587;Onderwijzers;onderwijzers;;13320;;
13588;Onderwijzers nuttige handw.;onderwijzers nuttige handw;;13320;;
13596;Onderwijzers;onderwijzers;;13320;;
13601;Onderwijzers;onderwijzers;;13320;;
13607;Onderwijzers;onderwijzers;;13320;;
13641;Houders van kinderbewaarplaatsen;houders van kinderbewaarplaatsen;;13320;;
13656;Onderwijzers;onderwijzers;;13320;;
98;Boekdrukkers;boekdrukkers;C;92110;;
4184;Bewaarschoolhouders;bewaarschoolhouders;;13490;11;
4836;Bewaarschoolhouders;bewaarschoolhouders;;13490;11;
5617;Bewaarschoolhouders;bewaarschoolhouders;;13490;11;
13585;Bewaarschoolhouders;bewaarschoolhouders;;13490;11;
99;Boekdrukkers;boekdrukkers;D;92110;;
4187;Huisonderwijzers;huisonderwijzers;;13990;;
5619;Huisonderwijzers;huisonderwijzers;;13990;;
13590;Huisonderwijzers;huisonderwijzers;;13990;;
100;Letterzetters;letterzetters;C;92120;;
13719;Aartsbisschoppen en bisschoppen;aartsbisschoppen en bisschoppen;;14120;31;
101;Letterzetters;letterzetters;D;92120;;
103;Technisch personeel;technisch personeel;D;84100;;
4225;o. Andere ambten of bedieningen;o andere ambten of bedieningen;;14190;;
4235;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
4869;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
5653;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
6007;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
108;Boekbinders;boekbinders;A;92625;;
109;Boekbinders;boekbinders;C;92625;;
6220;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
6222;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
6547;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
6551;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
6553;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
6835;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
6839;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
6841;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
7090;o. Andere ambten of bedieningen;o andere ambten of bedieningen;;14190;;
7099;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
7101;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
7308;o. Andere ambten of bedieningen;o andere ambten of bedieningen;;14190;;
7314;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
7318;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
7320;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
7501;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
7505;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
7506;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
7767;o. Andere ambten of bedieningen;o andere ambten of bedieningen;;14190;;
7775;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
7776;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
7988;o. Andere ambten of bedieningen;o andere ambten of bedieningen;;14190;;
7994;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
7998;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
7999;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
110;Boekbinders;boekbinders;D;92625;;
8230;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
8412;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
8413;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
8665;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
8666;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
8906;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
8910;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
8911;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
9087;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
9089;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
9310;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
9312;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
9537;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
9541;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
9542;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
9991;o. Andere ambten of bedieningen;o andere ambten of bedieningen;;14190;;
10000;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
10005;Bedienaren van den godsdienst;bedienaren van den godsdienst;;14190;;
10006;Andere ambten of bedieningen;andere ambten of bedieningen;;14190;;
13694;o. Andere ambten of bedieningen;o andere ambten of bedieningen;;14190;;
13707;g. Andere ambten of bedieningen;g andere ambten of bedieningen;;14190;;
111;Controleurs;controleurs;C;94980;;
4176;n. Journalisten;n journalisten;;15915;;
5611;n. Journalisten;n journalisten;;15915;;
6523;n. Journalisten;n journalisten;;15915;;
6812;n. Journalisten;n journalisten;;15915;;
7294;n. Journalisten;n journalisten;;15915;;
7751;n. Journalisten;n journalisten;;15915;;
8204;n. Journalisten;n journalisten;;15915;;
8887;n. Journalisten;n journalisten;;15915;;
9524;n. Journalisten;n journalisten;;15915;;
9969;n. Journalisten;n journalisten;;15915;;
13571;n. Journalisten;n journalisten;;15915;;
112;Correctoren;correctoren;B;39940;;
113;Correctoren;correctoren;C;39940;;
10958;Penseelschrijvers;penseelschrijvers;A;15990;;
