"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occupation" "population" "HISCO"
1863 - 1849" "MANNEN" "G." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"845" "Afwerken van huizen" "A" "61 - 65
1838 - 1834" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 5 "95000"
"862" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 8 "95000"
"879" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 20 "95000"
"896" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 4 "95000"
"913" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "O." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"930" "Afwerken van huizen" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"947" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "O." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"964" "Afwerken van huizen" "A" "66 - 70
1833 - 1829" "MANNEN" "G." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"981" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 10 "95000"
"998" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 3 "95000"
"1015" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "O." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"1032" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 7 "95000"
"1049" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"1066" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"1083" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 10 "95000"
"1100" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 5 "95000"
"1117" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 4 "95000"
"1134" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Sloten" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 3 "95000"
"1151" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 8 "95000"
"1168" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 4 "95000"
"1185" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "O." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"1202" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"1219" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Bloemendaal" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"1236" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "VROUWEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"1253" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"1270" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"1287" "Afwerken van huizen" "A" "66 - 70
1833 - 1829" "MANNEN" "G." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"1304" "Afwerken van huizen" "A" "66 - 70
1833 - 1829" "MANNEN" "G." "Weesp" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"1321" "Afwerken van huizen" "A" "66 - 70
1833 - 1829" "MANNEN" "G." "Bloemendaal" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"1338" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 3 "95000"
"1355" "Afwerken van huizen" "A" "61 - 65
1838 - 1834" "MANNEN" "G." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 4 "95000"
"1372" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 6 "95000"
"1389" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 3 "95000"
"1406" "Afwerken van huizen" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Weesp" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 3 "95000"
"1423" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"1440" "Afwerken van huizen" "A" "66 - 70
1833 - 1829" "MANNEN" "G." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"1457" "Afwerken van huizen" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
